Code,Term,Explanation
NDB1.2,Raṇa Kācam,Corneal eye disease caused by trauma It is characterised by trauma. It is explained by increased vali ( nagan and koorman). Among the seven udalthathukkal saram and seneer gets affected.
NDB1.3,Uṭainteẕu Kācam,"Corneal eye disease with redness , lacrimation pricking pain in the forehead and ear It is characterised by redness , lacrimation , pricking pain in the forehead and ear. It is explained by increased vali ( nagan and koorman) and Aẕal( aalosaga Aẕal). Among the seven udalthathukkal saram and seneer gets affected"
NDB1.4,Mālai Kācam,Corneal eye disease with irritation and blurred vision of eye It is characterised by irritation and blurred vision in evening time. It is explained by increased vali ( nagan and koorman) and Aẕal( aalosaga Aẕal). Among the seven udalthathukkal saram and seneer gets affected.
NDB1.5,Ūṟu Kācam,"Corneal eye disease with redness, irritation and constriction of pupil It is characterised by redness, irritation, swelling of eyelids, dull vision, spreading of fleshy growth over the eye at night time and constriction of pupil. It is explained by increased vali ( nagan and koorman) and Aẕal( aalosaga Aẕal). Among the seve"
NDB1.6,Vārēẕu Kācam,"Corneal eye disease with lacrimation, blurred vision and pruritus It is characterised by lacrimation, blurred vision, itching, pricking pain in palm and plantar aspect, itching in eyes and diminshed vision. It is explained by increased vali ( nagan and koorman), Aẕal( aalosaga Aẕal) and iyam (tharpagam). Among the seve"
NDB1.7,Antira Kācam,"Corneal eye disease with redness and blankspot of eyes It is characterised by redness, blank spot of eyes and dimished vision. It is explained by increased vali (nagan and koorman) and Aẕal( aalosaga Aẕal). Among the seven udalthathukkal saram, seneer, Ūṉ, Koẕuppu, Eṉpu and Mūḷai gets affected."
NDB1.8,Rattap Paṭalam,"Corneal eye disease with reddish discoloration of eyes, pain,irritation and yellow mucous discharge It is characterised by swelling of eyelids, reddish discoloration of eyes, excruciating pain, irritation and mucous discharge, increased pain in the occipetal area, vertex and forehead. It is explained by increased vali (nagan and koorman), Aẕal( aalosaga"
NDB1.9,Vari Eẕuccippaṭalam,"Corneal eye disease with presence of corneal epithelial line which inturn decreases the vision It is characterised by presence of corneal epithelial line which inturn decreases the vision, lacrimation, grittiness of the eye and heatness of the eye. It is explained by increased vali (nagan and koorman) and Aẕal( aalosaga Aẕal). Among the seven udalt"
NDB1.10,Karunākap Paṭalam,"Corneal eye disease with lacrimation with circumferential retinal fold It is characterised by lacrimation with circumferential retinal fold, presence of multicolour vision and pricking pain in the eyes. It is explained by increased vali (nagan and koorman), Aẕal( aalosaga Aẕal) and iyam (tharpagam). Among the seven udalthath"
NDB1.11,Pacuviẕip Paṭalam,"Corneal eye disease with vision damage It is characterised by lacrimation, heat and vision damage. It is explained by increased Aẕal( aalosaga Aẕal) and iyam (tharpagam). Among the seven udalthathukkal saram and seneer gets affected"
NDB1.12,Ceṅkumutam,Corneal eye disease with red fleshy growth over the cornea and increased lacrimation It is characterised by red fleshy growth over the cornea and increased lacrimation. It is explained by increased Aẕal( aalosaga Aẕal) and iyam (tharpagam). Among the seven udalthathukkal saram and seneer gets affected
NDB1.13,Uṭṭaṉa Nerical,Corneal eye disease with whitish discoloration of cornea It is characterised by whitish discoloration of cornea. It is explained by increased Aẕal( aalosaga Aẕal). Among the seven udalthathukkal saram and seneer gets affected
NDB1.14,Aṉaṟ Cukkiraṉ,"Corneal ulcers with pain and inflammation in eyes It is characterised by corneal ulcers with pain and inflammation in eyes and loss of vision. It is explained by increased vali (nagan and koorman) and Aẕal( aalosaga Aẕal). Among the seven udalthathukkal saram, seneer, Ūṉ, Koẕuppu, Eṉpu and Mūḷai gets"
NDB1.15,Cori Vari,"Corneal eye disease with irritation It is characterised by irritation, lacrimation and bursting of blood vessels. It is explained by increased Aẕal( aalosaga Aẕal). Among the seven udalthathukkal saram and seneer gets affected"
NDB1.16,Mēkat Timiram,Corneal eye disease with burning sensation of eye It is characterised by burning sensation of eye. It is explained by increased Aẕal( aalosaga Aẕal).Among the seven udalthathukkal saram and seneer gets affected
NDB1.17,Untal Pū,Corneal eye disease with severe irritation in eyes It is characterised by cataract and severe irritation in eyes. It is explained by Aẕal( aalosaga Aẕal). Among the seven udalthathukkal saram and seneer gets affected
NDB1.18,Utira Kuntam,"Corneal eye disease with mild haematoma It is characterised by mild haematoma, photophobia, lacrimation, pus discharge, dull vision and itching in eyes. It is explained by increased vali (nagan and koorman), Aẕal( aalosaga Aẕal) and iyam (tharpagam). Among the seven udalthathukkal saram, senee"
NDC,Aiyam,
NDC1.1,Aiya Kācam,"Corneal eye disease with apraxia and cruciating pain in the forehead It is characterised by apraxia , heavy lacrimation and cruciating pain in the forehead like scorpion bIte. It is explained by increased vali (nagan and koorman) and and iyam (tharpagam). Among the seven udalthathukkal saram and seneer gets affected"
NDC1.2,Nīlakkācam,"Corneal eye disease with pain, blurry vision and bluish discoloration of cornea It is characterised by pain in the pupil, blurry vision, bluish discoloration of cornea and clear lacrimation. It is explained by increased vali (nagan and koorman) and Aẕal( aalosaga Aẕal). Among the seven udalthathukkal saram and seneer gets affected"
NDC1.3,Mantāra Kācam,"Corneal eye disease with blurred and cloudy vision during sunset It is characterised by blurred and cloudy vision during sunset. It is due to intake of bitter and sour food substances and constipation. It is explained by increased Aẕal( aalosaga Aẕal). Among the seven udalthathukkal saram, seneer, Ūṉ, Koẕuppu, Eṉpu"
NDC1.4,Tuṇṇu Kācam,"Corneal eye disease with fleshy growth in the cornea and heaviness of the eyelid It is characterised by fleshy growth in the cornea , heaviness of the eyelid, lacrimation, prickng pain in forehead, photophobia and foggy vision. It is explained by increased vali (nagan and koorman), Aẕal( aalosaga Aẕal) and iyam (tharpagam). Among the"
NDC1.5,Kuvaḷai Kācam,"Corneal eye disease with heaviness of eyelids and headache It is characterised by heaviness and pricking pain of eyelids, swelling of lateral canthi of eye, bluish discoloration of pupil and headache. It is explained by increased vali (nagan and koorman) and Aẕal( aalosaga Aẕal). Among the seven udalthathukkal"
NDC1.6,Nīrp Paṭalam,"Corneal eye disease with increased lacrimation It is characterised by increased lacrimation, diminished vision and swelling of lower eyelid. It is explained by increased Aẕal ( aalosaga Aẕal) and iyam (tharpagam). Among seven udalthathukkal saram, seneer, Ūṉ, Koẕuppu, Eṉpu and Mūḷai gets affected."
NDC1.7,Atimaṅkiṣap Paṭalam,"Corneal eye disease eith fleshy tissue growth over the cornea It is characterised by fleshy tissue growth over the cornea, photophobia, heat, lacrimation, mucus discharge and pain in the occipital and vertex region. It is explained by increased vali (nagan and koorman), Aẕal( aalosaga Aẕal) and iyam (tharpagam) . In"
NDC1.8,Veḷḷai Paṭalam,Corneal eye disease with white thickening of the cornea with blurred vision It is characterised by white thickening of the cornea with blurred vision. It is explained by increased vali (nagan and koorman) and Aẕal( aalosaga Aẕal).among seven udalthathukkal saram gets affected
NDC1.9,Nāka Aṭalam,Corneal eye disease with vascularised thickening of the conjuctiva pterigium It is characterised by vascularised thickening of the conjuctiva pterigium . It is explained by increased vali (nagan and koorman) and Aẕal( aalosaga Aẕal). Among the seven udalthathukkal saram and seneer gets affected
NDC1.10,Pañcu Nīr Paṭalam,"Corneal eye disease with vision damage It is characterised by Corneal disease with vision damage, blurry vision, little lacrimation and mucus discharge and sometimes grittiness in the lateral canthi of the eye. It is explained by increased vali (nagan and koorman) and Aẕal( aalosaga Aẕal). Amo"
NDC1.11,Veṇkumutam,"Corneal eye disease with white spot on cornea, pricking pain and vision loss It is characterised by white spot on cornea, pricking pain and vision loss. It is explained by increased vali (nagan and koorman) and Aẕal( aalosaga Aẕal). Among the seven udalthathukkal saram, seneer, Ūṉ, Koẕuppu, Eṉpu and Mūḷai gets affected"
NDC1.12,Nīr Nerical,Corneal eye disease with scorpion like structure in cornea It is characterised by scorpion like structure in cornea. It is due to heat and lacrimation stagnation of the eyes. It is explained by increased vali (nagan and koorman). Among the seven udalthathukkal saram gets affected .
NDC1.13,Viẕi Viẕuṅki Cukkiraṉ,"Corneal ulcers with pain and irritation in eyes It is characterised by corneal ulcers with pain and irritation in eyes. It is due to heat in the eyes, lacrimation stagnation of the eyes. It is explained by increased vali (nagan and koorman) and Aẕal( aalosaga Aẕal). Among seven udalthathukkal saram g"
NDC1.14,Veṇ Cukkiraṉ,"Corneal eye disease with dew like appearance on the cornea which causes vision loss It is characterised by dew like appearance on the cornea which causes vision loss. It is due to heat in the eyes, lacrimation stagnation of the eyes. It is explained by increased vali (nagan and koorman) and Aẕal( aalosaga Aẕal). Among seven udalthathuk"
NDC1.15,Nīr Vari,"Corneal eye disease with watering It is characterised by lacyrmation. It is due to heat in the eyes, stagnation of excessive watery discharge in the eyes. It is explained by increased vali (nagan and koorman), Aẕal( aalosaga Aẕal) and iyam (tharpagam). Among the seven udalthathukkal sara"
NDC1.16,Veḷḷēẕuttu,"Presbyopia It is characterised by indistinct small letters and words are confounded, headache. It is explained by increased vali (nagan and koorman) and Aẕal( aalosaga Aẕal). Among seven udalthathukkal saram, seneer, Ūṉ, Koẕuppu, Eṉpu and Mūḷai gets affected"
NDC1.17,Mantāra Timiram,"Corneal eye disease with vision loss during evening It is characterised by vision loss during evening. It is explained by increased Aẕal( aalosaga Aẕal). Among the seven udalthathukkal saram, seneer, Ūṉ, Koẕuppu, Eṉpu and Mūḷai gets affected"
NDC1.18,Nīrt Timiram,"Corneal eye disease with increased lacrimation, rhinitis and blurred vision It is characterised by increased lacrimation,rhinitis, pricking pain in both sides of the eye and blurred vision. It is explained by increasedAẕal( aalosaga Aẕal) and iyam (tharpagam). Among the seven udalthathukkal saram, seneer, Ūṉ, Koẕuppu, Eṉpu and M"
NDC1.19,Nīr Kuntam,Corneal eye disease with decreased vision It is characterised by decreased vision and increased lacrimation. It is explained by increased Aẕal( aalosaga Aẕal) and iyam (tharpagam). Among the seven udalthathukkal saram and seneer gets affected.
NDD,Mukkuṟṟam,
NDD1.1,Curōṉita Nerical,Corneal eye disease due to increased pitham and drug allergy It is characterised by increased Aẕal and drug allergy. It is explained by increased Aẕal( aalosaga Aẕal). Among the seven udalthathukkal saram and seneer gets affected.
NDD1.2,Āṇip Pū,"Corneal eye disease with fleshy growth over the cornea and in flammation of the eye It is characterised by fleshy growth over the cornea and inflammation of the eye. It is explained by increased vali (nagan and koorman) and Aẕal( aalosaga Aẕal). Among the seven udalthathukkal saram, seneer, Ūṉ, Koẕuppu, Eṉpu and Mūḷai gets affected."
NE,Veḷviẕi Nōykaḷ,
NEA,Vaḷi,
NEA1.1,Vari Eẕucci,"Fleshy growth in the sclera It is characterised by fleshy growth in the sclera. It is explained by increased Aẕal( aalosaga Aẕal). Among the seven udalthathukkal saram, seneer, Ūṉ, Koẕuppu, Eṉpu and Mūḷai gets affected"
NEA1.2,Viraṇa Eẕucci,"Tissue growth in the sclera with inflammation It is characterised by tissue growth in the sclera with inflammation. It is explained by increased vali (nagan and koorman) and Aẕal( aalosaga Aẕal). Among the seven udalthathukkal saram, seneer, Ūṉ, Koẕuppu, Eṉpu and Mūḷai gets affected"
NEA1.3,Kuvai Eẕucci,"Fleshy growth in the sclera It is characterised by fleshy growth in the sclera resembling the shape of black dhal (Phasea mungo). It is explained by increased vali (nagan and koorman) and Aẕal( aalosaga Aẕal). Among the seven udalthathukkal saram, seneer, Ūṉ, Koẕuppu, Eṉpu and Mūḷa"
NEA1.4,Vari Paṭartti,"Fibrovascular growth covering the sclera of the eye It is characterised by fibrovascular growth covering the sclera of the eye. It is explained by increased vali (nagan and koorman) and Aẕal( aalosaga Aẕal). Among the seven udalthathukkal saram, seneer, Ūṉ, Koẕuppu, Eṉpu and Mūḷai gets affected"
NEA1.5,Viraṇa Nerical,Inflammatory vascular congesion of the sclera It is characterised by inflammatory vascular congesion of the sclera. It is explained by increased vali (nagan and koorman) and Aẕal( aalosaga Aẕal). Among the seven udalthathukkal saram and seneer gets affected
NEA1.6,Nīlavari,Bluish discolouration in the sclera It is characterised by bluish discolouration in the sclera with irregular surface. It is explained by increased vali (nagan and koorman) and Aẕal( aalosaga Aẕal). Among seven udalthathukkal seneer gets decreased
NEB,Aẕal,
NEB1.1,Corip Paṭartti,"Unclear vision due to memrane covering It is characterised by unclear vision due to membrane covering in to the sclera. It is explained by increased vali (nagan and koorman) and Aẕal( aalosaga Aẕal). Among the seven udalthathukkal saram, seneer, Ūṉ, Koẕuppu, Eṉpu and Mūḷai gets affected"
NEB1.2,Untu Nerical,Episcleral vascular congesion It is characterised by episcleral vascular congesion. It is explained by increased Aẕal( aalosaga Aẕal). Among the seven udalthathukkal saram and seneer gets affected.
NEB1.3,Irattak Kumiḷam,Haemorrhagic blister of the sclera It is characterised by haemorrhagic blister of the sclera. It is explained by increased Aẕal( aalosaga Aẕal). Among the seven udalthathukkal saram and seneer gets affected.
NEC,Aiyam,
NEC1.1,Nīr Eẕucci,Tissue growth in the sclera with watery discharge It is characterised by tissue growth in the sclera with lacrimation. It is explained by increased vali (nagan and koorman) and Aẕal( aalosaga Aẕal). Among the seven udalthathukkal saram and seneer gets affected.
NEC1.2,Mutteẕucci,"Abscess in the sclera It is characterised by abscess in the sclera. It is explained by increased iyam (tharpagam). Among the seven udalthathukkal saram, seneer and Ūṉ gets affected"
NEC1.3,Cataip Paṭartti,"Memrane covering the white part of the eye It is characterised by thickened membrane covering the white part of the eye. It is explained by increased vali (nagan and koorman) and Aẕal( aalosaga Aẕal). Among the seven udalthathukkal saram, seneer, Ūṉ, Koẕuppu, Eṉpu and Mūḷai gets affected"
NEC1.4,Tuḷi Nerical,"Episcleral vascular congesion It is characterised by episcleral vascular congestion. It is explained by increased vali (nagan and koorman) and Aẕal( aalosaga Aẕal). Among the seven udalthathukkal saram, seneer, Ūṉ, Koẕuppu, Eṉpu and Mūḷai gets affected"
NEC1.5,Nīr Kumiḷam,"Watery blisters in the sclera It is characterised by watery blisters in the sclera. It is explained by increased vali (nagan and koorman) and Aẕal( aalosaga Aẕal). Among the seven udalthathukkal saram, seneer, Ūṉ, Koẕuppu, Eṉpu and Mūḷai gets affected"
NEC1.6,Maṅkica Kumiḷam,"Lackish tissue growth in the sclera It is characterised by blackish tissue growth in the sclera. It is explained by increased vali (nagan and koorman) and Aẕal( aalosaga Aẕal). Among the seven udalthathukkal saram, seneer, Ūṉ, Koẕuppu, Eṉpu and Mūḷai gets affected"
NEC1.7,Veḷvari,"Sclera appears like the scales of fish It is characterised by appearance of sclera like scales of fish. It is explained by increased vali (nagan and koorman) and Aẕal( aalosaga Aẕal). Among the seven udalthathukkal saram, seneer, Ūṉ, Koẕuppu, Eṉpu and Mūḷai gets affected"
O,Ūṭṭaccattu Kuṟaipāṭu Nōykaḷ,
P,Puṟṟu Nōykaḷ,
PA,Nakiṟkaṭṭi,
PAA,Vaḷi,
PAA1.1,Vaḷi Nakiṟkaṭṭi,"Tumour of breast due to vali It is characterized by breast abcess. It is explained by increased vali. Among seven udalthathukkal Cāram, Cennīr and Ūṉ gets affected."
PAB,Aẕal,
PAB1.1,Aẕal Nakiṟkaṭṭi,"Tumour of breast due topitham It is characterized by breast abcess. It is explained by increased Aẕal. Among the body constituents ,Cāram, Cennīr and Ūṉ gets affected"
PAC,Aiyam,
PAC1.1,Aiyam Nakiṟkaṭṭi,"Tumour of breast due to kabam It is characterized by breast abcess. It is explained by derangement of iyam. Among the body constituents Cāram, Cennīr and Ūṉ gets affected."
PAD,Mukkuṟṟam,
PAD1,Mukkuṟṟam Nakiṟkaṭṭi,"Tumour of breast due to mukkutram It is characterized by abcess in the breast. It is explained by increased vali, Aẕal and iyam. Among seven udal thathukkal saram ,Cennīr and Ūṉ gets affected."
PAD1.1,adipaduthala Uṇṭākum Nakiṟkaṭṭi,"Tumour of breast due to injury It is characterized by abcess or lump due to injury. It is explained by increased vali, Aẕal and iyam. In the body constituents Cāram, Cennīr and Ūṉ gets affected."
PB,Veḷviẕi Nōykaḷ,
PBD,Mukkuṟṟam,
PBD1.1,Nīrppuṟṟu,"Abcess in cornea with discharge It is characterized by abcess in the size of rosary pea in the scelera of eye . It is explained increased vali, Aẕal and iyam. Among seven udal thathukkal saram ,Cennīr and Ūṉ gets affected."
PBD1.2,Cataippuṟṟu,"Abcess in cornea with skin tag It is characterized by abcess in the scelera with reddish inflammation. It is explained by increased iyam. Among seven udal thathukkal saram ,Cennīr and Ūṉ gets affected."
PBD1.3,Maṇalppuṟṟu,"Abcess in cornea like sand It is characterized by raised abcess in the scelera. It is explained by increased iyam. Among seven udal thathukkal saram ,Cennīr and Ūṉ gets affected."
PC,Vippuruti,
PCD,Mukkuṟṟam,
PCD1.1,Karppa Vippuruti,"Abcess in pelvic cavity It is characterized by head ache, abdominal distension, pain in lower abdomen, constipation and dryness of skin. It is explained by increased vali, Aẕal and iyam.Among seven udal thathukkal saram ,Cennīr and Ūṉ gets affected."
PCD1.2,Kuvaḷai Vippuruti,"Abcess in thorax It is characterized by pain in the spine, ribs, anal and genital regions, discharge of pus and blood and the body becomes flaccid. It is explained by increased vali, Aẕal and iyam.Among seven udal thathukkal saram ,Cennīr and Ūṉ gets affected."
PCD1.3,Pitta Vippuruti,"Carbuncle /Absess due to pitham It is characterized by hematemesis, itching all over the body, yawning, tastelessness, mental confusion and abdominal discomfort. It is explained by increased vali, Aẕal and iyam.Among seven udal thathukkal saram ,Cennīr and Ūṉ gets affected."
PCD1.4,Cantu Vippuruti,"Carbuncle in abdomen It is characterized tumor in the abdomen, tightness in the chest and dizziness in the eyes. It is explained by increased vali, Aẕal and iyam.Among seven udal thathukkal saram ,Cennīr and Ūṉ gets affected."
PCD1.5,Ōṭu Vippuruti,"Carbuncle /Abcess causing metastasis It is characterized by abcess all over the body with accumulation of blood,spreading into bones and tingling sensation in the skin. It is explained by increased vali, Aẕal and iyam.Among seven udal thathukkal saram ,Cennīr and Ūṉ gets affected."
PCD1.6,Cilēttuma Vippuruti,"Carbuncle /Abcess due to kabam It is characterized by phlegm in the chest, sweet taste in saliva, edema in the body and green coloured stools. It is explained by increased vali, Aẕal and iyam.Among seven udal thathukkal saram ,Cennīr and Ūṉ gets affected."
PCD1.7,Vāta Vippuruti,"Carbuncle/Abcess due to vatham It is characterized by protruding tissue, bitterness in mouth, hiccough, abdominal discomfort and thickness of the tongue. It is explained by increased vali, Aẕal and iyam. Among seven udal thathukkal saram ,Cennīr and Ūṉ gets affected."
PD,Karuppaippuṟṟukaḷ,
PDD,Mukkuṟṟam,
PDD1.1,Karuppaikkaẕuntupuṟṟu,
PDD1.2,Karuppaippuṟṟu,
Q,Irattācaya Nōykaḷ,
QA,Veḷuppu Nōy,
QAA,Vaḷi,
QAA1.1,Vaḷi Veḷuppu Nōy,"Anaemia caused by increased vali, lower abdominal pain,engorged veins This is characterised by abdominal pain, thirst, anorexia, engorged veins. Redness of eyes, pallor & edema with pain, borboygmus & constipation. It can be explained by increased vali (vyanan,abanan & nagan) affecting Aẕal. Among the seven udal thathukkal"
QAB,Aẕal,
QAB1.1,Aẕal Veḷuppu Nōy,"Anaemia caused by increased Azhal, Severe pallor,dyspnoea on exertion This is characterised by yellowish discoloration of tongue, pallor of upper limb and lower limb, dimness of vision, intense thirst, giddiness, spicy or bitter taste in the tongue taste, constriction of the chest, dyspnoeic with giddiness. Likeness toward"
QAB1.2,Maṇṇuṉ Veḷuppu Nōy,"Anaemia, pica This is characterized by distention of the abdomen, dyspepsia, vomiting, diarrhoea, fever, worm infestation, emaciation, anaemic, pallor and palpitation.This is common in childhood,pregnancy due to pica.This can be explained by derangement of vali influe"
QAC,Aiyam,
QAC1.1,Nañcu Veḷuppu Nōy,"Anaemia caused by increased Aiyam, haemolytic anaemia This is characterised by pallor of the body proportionate to the intake of toxic substances. Intense thirst, tasteless, vomitting, hiccough, cough, dyspnoea, anasarca,engorged veins,increase in body heat. It is explained by increased mukkuttram that affec"
QAC1.2,Aiya Veḷuppu Nōy,"Anaemia caused by increased Aiyam, salt taste in tongue,cough syncope This is characterised by pallor, engorged veins, salty taste, vomiting, cough withexpectoration, giddiness, lumbago and impotence. It is explained by increased kapha, influencing vali that affects udanan. Among seven udal thathukkal saram ,Cennīr, Ūṉ, Eṉp"
QAD,Mukkuṟṟam,
QAD1.1,Tonta Veḷuppu Nōy,"Anaemia due to mukkutram This is characterised by anorexia,thirst,dyspnoea,increased micturition,weakness in the chest,increased bodyheat,anasarca,malaise.This can be explained by deranged mukuttram affects udanan,vyanan. Among the seven udal thathukkal saram to veneer is affecte"
R,Aṟuvai Nōykaḷ,
RA,Aṭitaḷḷal,
RAA,Vaḷi,
RAA1.1,Aṭitaḷḷal,"Rectal prolapse due to increasing Vali It is characterized by rectal prolapse to a degree where they protrude out the anus and visible due to chronic diarrhoea, dysentry and increased rectal pressure followed by constipation. It is explained by increased vali. Among the seven Uṭaṟtātukkaḷ"
RB,Akkuḷ Nila Pūcaṇi Kaṭṭi,
RBB,Aẕal,
RBB1.1,Akkuḷ Nila Pūcaṇi Kaṭṭi,"Axillary lymphadenopathy due to increasing Azhal It is characterized by axillary lymphadenitis, sometimes fever and convalesence. It is explained by increased Aẕal. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr and Ūṉ gets affected."
RC,Kapāla Piḷavai,
RCB,Aẕal,
RCB1.1,Mēka Kapāla Piḷavai,"Diabetic carbuncle present in head due to increasing azhal It is characterized by swollen carbuncles under the scalpy skin with painful cluster of furuncle, thirst, fever and pricking pain. It is explained by increased Aẕal. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr, Ūṉ and Koẕuppu gets affected."
RCB1.2,Curik Kapāla Piḷavai,"Occipital Carbuncle due to increasing Azhal It is characterized by swollen carbuncle under the thoracic or lumbar vertebral area with burning sensation, pricking pain, painful cluster of furuncle. It is explained by increased Aẕal. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr, Ūṉ and Koẕuppu gets"
RCB1.3,Kuruti Kaṇṇaṉ Kapāla Piḷavai,"Head Carbuncle due to increasing Azhal It is characterized by a carbuncle in the head with redness of the face, ulcer and spasmodic pain. It is explained by increased Aẕal. Among the seven udarthadhukal Cāram, Cennīr, Ūṉ and Koẕuppu gets affected."
RCB1.4,Pokkik Kapāla Piḷavai,"Blisters present in the Face due to increasing Aiyam It is characterized by blisters present in the face and head with watery discharge, redness and ulcer with pricking pain. It is explained by increased Aẕal. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr, Ūṉ and Koẕuppu gets affected."
RCB1.5,Karuṅ Kapāla Piḷavai,"Boils around the head due to increasing Azhal It is characterized by blisters around the head with pricking pain, burning sensation in the eyes and ears. It is explained by increased Aẕal. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr and Ūṉ gets affected."
RCC,Aiyam,
RCC1.1,Viraṇakkapālappiḷavai,"Head Carbuncle due to increasing aiyam It is characterized by swollen carbuncle in the scalp with pricking pain present all over the body, thirst, dyspnoea. It is explained by increased aiyam along with Aẕal. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr, Ūṉ, Koẕuppu gets affected."
RCC1.2,Pakka Kapāla Piḷavai,"Scalp Blisters due to increasing aiyam It is characterized by carbuncle in the scalp with fever, painful micturation, dyspnoea and hiccup. It is explained by increased aiyam along with Aẕal. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr, Ūṉ, Koẕuppu gets affected."
RCC1.3,Kuṉṟi Kapāla Piḷavai,"Scalp Boils like Abrus seeds It is characterized by carbuncle in the scalp with papules, pain, burning sensation, puffiness in the face and remittent fever. It is explained by increased aiyam along with Aẕal. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr, Ūṉ and Koẕuppu gets affected."
RCC1.4,Aẕukaṇṇi Kapāla Piḷavai,"Blisters around the Eyes It is characterized by blisters around the eyes with accumulation of pus, oozing and pricking pain. It is explained by increased aiyam. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr, Ūṉ and Koẕuppu gets affected."
RCC1.5,Poṉṉi Kapāla Piḷavai,"Head carbuncle of small size It is characterized by carbuncle in the scalp with blood accumulated multiple papules and cracked skin. It is explained by increased aiyam. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr, Ūṉ, Koẕuppu gets affected."
RD,Kapāla Tērai,"Scalp eczema due to increasing Vali It is characterized by heaviness of the head, swollen eyes, hair loss, dry skin and nasal bleeding. It is explained by increased Aẕal. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr, Ūṉ and Koẕuppu gets affected."
RE,Kaṇṭamālai,
RED,Mukkuṟṟam,
RED1,Kaṇṭamālai,"Cervical Lymphadenopathy due to derangement of mukkutram It is characterized by cervical lymphadenitis which is pitting in nature, itching. It is explained by increased vali, and aiyam. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr, Ūṉ and Koẕuppu gets affected."
RF,Kaṭṭi,
RFA,Vaḷi,
RFA1.1,Maṭakkuk Kaṭṭi,"Conical shaped Diabetic Carbuncle due to Increasing Vali It is characterized by conical shaped diabetic carbuncle in the joints and muscular regions of the body. It is explained by increased vali. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr and Ūṉ gets affected."
RFA1.2,Valaikkaṇ Kaṭṭi,"Boils spreading like trees root due to increasing Vali It is characterized by black coloured diabetic blisters present in sunken area of the body, difficulty to bend the hip. It is explained by increased vali. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr and Ūṉ gets affected."
RFA1.3,Atōmukak Kaṭṭi,"Blisters present in sunken area of the body due to spreading the vali It is characterized by conical shaped diabetic carbuncle present in the joints and muscular regions. It is explained by increased vali. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr and Ūṉ gets affected."
RFA1.4,Kaṭalaik Kaṭṭi,"Blisters like ground nut shaped due to increasing Vali It is characterized by ground nut shaped diabetic blisters spreading all over the body. It is explained by increased vali. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr and Ūṉ gets affected."
RFA1.5,Kaṭukuk Kaṭṭi,"Blisters like lentils due to increasing Vali It is characterized by diabetic blisters like lentils with pain. It is explained by increased vali. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr and Ūṉ gets affected."
RFB,Aẕal,
RFB1.1,Pēyccuraik Kaṭṭi,"Blisters like bottle gourd shaped due to increasing Vali It is characterized by diabetic blisters like bottle gourd shape with burning sensation, fever, thurst, boils. It is explained by increased Aẕal. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr and Ūṉ gets affected."
RFB1.2,Vittiratik Kaṭṭi,"Multiple Blisters due to increasing Azhal It is characterized by multiple blisters with burning sensation and pain. It is explained by increased Aẕal. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr, Ūṉ and Koẕuppu gets affected."
RFB1.3,Mēka Vittiratik Kaṭṭi,"Multiple diabetic carbuncle due to increasing Azhal It is characterized by multiple diabetic carbuncles. It is explained by increased Aẕal. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr and Ūṉ gets affected."
RFC,Aiyam,
RFC1.1,Āmai Ōṭu Kaṭṭi,"Tortoise shell like Diabetic carbuncle due to increasing Aiyam It is characterized by tortoise shell like diabetic carbuncle with pain and swelling. It is explained by increased aiyam. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr and Ūṉ gets affected."
RFC1.2,Nilappūcaṇi Kaṭṭi,"carbuncle like tuber due to increasing Aiyam It is characterized by diabetic carbuncle like tuber with pain It is explained by increased aiyam. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr, Ūṉ, Koẕuppu gets affected."
RG,Kiranti,
RGA,Vaḷi,
RGA1.1,Vaḷi Kiranti,"Syphilitic ulcer due to increasing Vali It is characterized by a chancre with bleeding and pricking pain. It is explained by increased vali. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr and Ūṉ gets affected."
RGA1.2,Caṭai Kiranti,"Syphilitic ulcer due to altered Oon thathu by increasing Kabam It is characterized by chancre with fleshy wound. It is explained by increased vali. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr and Ūṉ gets affected."
